id,place_a_id,place_b_id,true_distance_km
BE--NO,BE,NO,1088.7762086732355
BE--NP,BE,NP,7059.572674287555
BE--NZ,BE,NZ,18719.4487429819
BE--OM,BE,OM,5517.391387509949
BE--PA,BE,PA,8810.654860559776
BE--PE,BE,PE,10441.056690072153
BE--PG,BE,PG,14304.696673760016
BE--PH,BE,PH,10522.476509146825
BE--PK,BE,PK,5760.264363871195
BE--PL,BE,PL,1164.2804551704378
BE--PT,BE,PT,1711.6666137067239
BE--QA,BE,QA,4899.080515531124
BE--RO,BE,RO,1775.2662279171332
BE--RS,BE,RS,1376.614895780641
BE--RU,BE,RU,2261.8623806089986
BE--RW,BE,RW,6339.6435529552045
BE--SA,BE,SA,4637.500416240855
BE--SB,BE,SB,14902.450372966698
BE--SE,BE,SE,1287.8663177660935
BE--SG,BE,SG,10565.956627415253
BE--SN,BE,SN,4459.743314249824
BE--TH,BE,TH,9262.59091898247
BE--TN,BE,TN,1627.2641958686988
BE--TO,BE,TO,16708.35456229095
BE--TR,BE,TR,2519.5596119904703
BE--TZ,BE,TZ,6999.016039776448
BE--UA,BE,UA,1843.1953897047028
BE--UG,BE,UG,6201.034878444699
BE--US,BE,US,6230.189826559773
BE--UY,BE,UY,11186.673545105432
BE--UZ,BE,UZ,4967.260782432383
BE--VN,BE,VN,8994.270247700535
BE--VU,BE,VU,16068.68818406317
BE--WS,BE,WS,15885.804442189463
BE--ZA,BE,ZA,8797.88990427807
BE--ZM,BE,ZM,7701.673158570102
BE--ZW,BE,ZW,8040.798362224156
BF--BH,BF,BH,5648.235481161693
BF--BO,BF,BO,7805.271812603254
BF--BR,BF,BR,5983.120696609721
BF--BW,BF,BW,5065.352730826962
BF--CA,BF,CA,7806.3176200391645
BF--CD,BF,CD,2623.444998791875
BF--CH,BF,CH,3921.552732193304
BF--CI,BF,CI,739.2950930690619
BF--CL,BF,CL,8900.074326892673
BF--CM,BF,CM,1716.437371438635
BF--CN,BF,CN,11390.395688600704
